0,2.0348,1.0003,4.9707
0.25,1.9853,1.008,4.9989
0.5,2.0163,0.98505,4.9997
0.75,1.9754,1.0045,5.0003
1,1.9956,1.0035,4.9963
1.25,1.9576,0.98667,5.0036
1.5,1.9918,1.011,5.0304
1.75,1.9785,1.0058,4.9988
2,1.9853,0.9914,5.0004
2.25,1.993,1.044,5.0145
2.5,2.003,1.0132,5.0222
2.75,1.9938,0.99905,4.9797
3,1.975,1,5.0076
3.25,1.9523,1.0189,4.9835
3.5,2.0066,0.98581,4.992
3.75,1.9977,0.99009,4.9768
4,1.9653,1.0073,4.9608
4.25,1.9905,1.012,5.0092
4.5,2.018,1.0302,5.0003
4.75,2.0303,0.99601,4.9855
5,1.9719,1.0517,4.9992
5.25,2.0138,0.98264,4.9858
5.5,2.0009,0.9843,4.9698
5.75,2.0065,0.98215,4.993
6,1.9956,0.969,4.982
6.25,1.9936,1.0073,4.9822
6.5,2.0016,1.0183,4.9612
6.75,1.9902,1.0372,4.9601
7,2.0377,0.98248,5.0082
7.25,1.9914,1.0024,4.965
7.5,2.0153,0.99186,5.0243
7.75,1.998,1.0404,4.9903
8,1.9725,0.97115,4.9809
8.25,1.959,0.99336,4.9522
8.5,1.9858,0.97483,4.9793
8.75,1.9911,1.003,4.9609
9,2.0055,1.0111,5.0058
9.25,2.0081,1.0407,4.9766
9.5,2.0432,1.0032,5.0139
9.75,1.9949,0.99663,4.9977
10,2.0053,1.038,4.9568
10.25,1.9911,1.0284,4.9805
10.5,1.9807,0.99954,4.9931
10.75,1.967,0.99096,5.013
11,2.0076,0.98614,4.9701
11.25,1.995,0.98104,5.0013
11.5,1.9887,0.98554,4.9722
11.75,1.987,0.97871,5.0238
12,2.0237,1.0076,4.9839
12.25,2.0024,0.98601,5.003
12.5,1.9839,1.0072,4.9969
12.75,2.0038,1.0071,5.0073
13,1.9618,0.98901,4.9693
13.25,2.0223,0.97583,5.0186
13.5,1.9871,1.0047,5.0094
13.75,1.9679,0.96822,4.9871
14,1.9958,1.0154,5
14.25,2.0428,1.0142,5.0022
14.5,2.0506,0.99225,4.9683
14.75,2.0156,0.98033,5.0191
15,2.0138,1.0064,4.9737
15.25,1.9914,1.007,5.0195
15.5,2.0219,0.99038,5.004
15.75,2.0111,1.0179,4.9505
16,1.9977,1.0124,4.9895
16.25,2.0126,0.98638,4.9763
16.5,1.9716,0.93645,4.9756
16.75,1.9742,0.99015,5.0149
17,2.007,0.96937,4.9681
17.25,1.9759,0.96154,5.0134
17.5,1.9776,1.0155,4.9899
17.75,2.0202,0.98662,5.0345
18,1.9955,1.0254,4.9648
18.25,2.0133,0.99647,4.9594
18.5,2.0244,0.96262,5.0149
18.75,1.9875,1.0191,4.994
19,2.0179,1.039,4.9979
19.25,2.0075,1.0027,4.9839
19.5,2.041,0.97289,4.9892
19.75,1.9495,0.99508,5.005
20,1.9961,1.0177,5.0089
20.25,2.0027,0.9948,5.0489
20.5,2.027,1.0336,4.9629
20.75,2.021,0.98194,4.9647
21,1.9576,0.99405,4.9526
21.25,2.0025,1.0545,5.0115
21.5,1.9549,1.0002,4.9801
21.75,1.9987,1.0121,4.9758
22,2.0175,0.98823,4.9954
22.25,2.0268,1.0214,4.9685
22.5,2.0081,1.0094,5.0047
22.75,1.979,1.0293,4.9759
23,2.0073,0.98919,4.9727
23.25,2.0367,0.97168,4.9997
23.5,2.0003,0.96313,4.995
23.75,1.9744,1.0024,4.9508
24,1.9573,0.93846,4.9792
24.25,2.0252,0.97208,5.0175
24.5,1.9984,1.0004,5.0026
24.75,2.0219,0.96345,4.999
25,2.012,1.0274,4.9548
25.25,1.9908,0.99171,4.9959
25.5,1.9976,0.97618,4.9632
25.75,2.0319,1.0004,5.0343
26,2.0126,0.98183,4.9645
26.25,1.9748,0.98282,4.9994
26.5,2.0316,1.0172,4.9808
26.75,2.0188,0.96934,4.9512
27,2.017,0.99031,4.9912
27.25,1.9637,1.01,4.9518
27.5,2.0038,0.96626,4.9777
27.75,2.003,1.0294,4.9811
28,2.0137,1.0247,5.0088
28.25,2.0075,1.0149,4.9657
28.5,1.9995,0.99406,4.9769
28.75,1.9694,1.0075,4.9954
29,2.0135,0.98148,4.9939
29.25,1.998,1.0013,4.9572
29.5,2.0084,0.98142,4.9663
29.75,1.9991,1.0187,4.985
30,2.0019,1.0087,5.0175
30.25,1.9871,0.99848,4.9924
30.5,2.0028,0.99969,4.9803
30.75,2.0028,1.0342,4.9996
31,2.0068,1.0022,4.9558
31.25,1.9979,0.99136,4.973
31.5,1.973,1.0083,4.9847
31.75,2.0244,1.0372,5.0292
32,1.9656,1.0149,4.9969
32.25,2.0051,1.0305,4.9785
32.5,1.9758,0.99071,4.9879
32.75,1.9975,1.0208,4.9897
33,1.9911,0.98177,4.9652
33.25,2.0302,1.0088,4.9809
33.5,1.9855,0.9907,5.0162
33.75,2.0144,1.0132,4.9668
34,2.003,0.99961,4.9621
34.25,2.027,0.99823,5.0116
34.5,2.0074,1.0182,5.0116
34.75,2.032,0.9637,4.9845
35,1.9627,0.9963,4.9913
35.25,2.0027,0.95128,4.9629
35.5,1.9586,1.0021,4.998
35.75,2.0115,0.95646,4.9359
36,1.9847,0.97035,5.0123
36.25,1.9753,0.99153,5.0007
36.5,1.9883,0.99989,4.9826
36.75,1.9699,0.9617,4.9865
37,2.0138,1.0112,4.986
37.25,1.9775,0.96735,4.9951
37.5,2.0294,0.98423,4.9932
37.75,2.025,1.0453,4.9862
38,1.9735,0.98404,4.9937
38.25,1.9848,0.98923,4.9749
38.5,1.996,0.98845,4.9795
38.75,2.0089,0.96589,4.974
39,2.0197,0.96853,4.9973
39.25,2.0371,0.97424,4.9711
39.5,2.0014,1.0003,5.0021
39.75,2.0309,1.041,4.9695
40,1.986,0.99237,4.9811
40.25,2.0102,0.99469,4.9729
40.5,2.0294,0.99636,4.996
40.75,2.0229,0.99588,4.9884
41,1.9679,0.9937,4.9967
41.25,2.0058,0.97463,4.9712
41.5,1.9817,1.0044,5.0123
41.75,1.99,1.0216,4.9813
42,1.9759,1.0195,4.9838
42.25,2.0102,1.0116,5.0001
42.5,1.9847,0.99249,4.9859
42.75,1.9874,0.98271,4.9776
43,2.01,0.95606,4.976
43.25,2.0393,1.0033,5.0031
43.5,2.0205,0.98103,4.9539
43.75,1.9638,0.99399,4.9731
44,2.0035,0.98942,4.9616
44.25,1.9565,0.99762,4.9456
44.5,1.993,0.99284,4.9916
44.75,2.0071,1.0138,5.0078
45,1.9514,0.96794,5.0081
45.25,1.9889,0.9782,4.9628
45.5,1.9818,1.0104,4.942
45.75,1.9871,0.99974,4.9797
46,2.0033,1.0197,4.9722
46.25,1.9864,0.99467,5.0025
46.5,2.0252,0.98273,5.0008
46.75,1.9859,0.96721,5.0341
47,2.0106,1.0051,5.0098
47.25,2.0201,1.0525,4.9542
47.5,1.9852,0.97023,4.9676
47.75,1.9631,0.98963,4.9895
48,2.0126,1.0378,5.0116
48.25,1.9787,1.012,4.9698
48.5,2.0134,0.97624,4.9495
48.75,1.9696,1.0076,4.9708
49,2.0115,0.99348,4.9453
49.25,2.0161,0.99621,5.0087
49.5,2.0101,1.0236,5.0113
49.75,1.9814,1.0319,4.9884
50,2.0146,0.98832,4.9801
50.25,2.0335,0.99415,4.9841
50.5,1.96,1.0273,4.9241
50.75,2.0231,0.98148,4.9752
51,1.9898,1.0361,5.0026
51.25,1.9741,1.0145,4.9882
51.5,1.9587,1.0106,4.9361
51.75,1.9614,0.96386,4.9734
52,1.9968,0.99446,4.9764
52.25,1.9834,0.99932,4.9845
52.5,2.0461,0.99522,5.0111
52.75,1.9761,1.0006,4.9527
53,2.0202,0.99432,4.9626
53.25,2.0207,0.97867,4.973
53.5,1.9936,0.99221,4.98
53.75,2.023,0.97144,4.9539
54,1.9983,0.95958,4.9822
54.25,2.0083,0.97411,4.9315
54.5,1.9661,0.96863,4.9584
54.75,2.0183,1.0123,4.9737
55,1.9979,0.99224,4.8966
55.25,1.9924,1.0056,4.9863
55.5,2.0083,1.0079,4.9693
55.75,1.9963,0.98289,4.9896
56,1.9928,0.99411,4.9798
56.25,2.0065,1.0178,4.9649
56.5,1.9783,0.96899,4.9764
56.75,1.9884,1.0291,4.9647
57,1.9916,0.97677,4.9217
57.25,1.9985,0.99056,4.9578
